article_id,link,title,main_category,category_1,category_2,category_3,category_4,suprise_r1,suprise_r2,suprise_r3,like_r1,like_r2,like_r3,c1_familiarity_r1,c1_familiarity_r2,c1_familiarity_r3,c2_familiarity_r1,c2_familiarity_r2,c2_familiarity_r3,c3_familiarity_r1,c3_familiarity_r2,c3_familiarity_r3,c4_familiarity_r1,c4_familiarity_r2,c4_familiarity_r3
6200,http://www.medicalnewstoday.com/articles/10342.php,Patients with severe depression improve using guidelines developed by UT Southwestern researchers,Depression,Depression,,,,2,3,4,3,3,4,2,5,4,,,,,,,,,
1233,http://www.medicalnewstoday.com/articles/4912.php,Diabetes - Depression link,Depression,Depression,,,,4,4,1,5,3,2,4,4,2,,,,,,,,,
15109,http://www.medicalnewstoday.com/articles/20684.php,Study reveals frequent non-guideline treatment of late-life depression,Depression,Depression,,,,4,5,3,3,5,4,3,3,4,,,,,,,,,
812,http://www.medicalnewstoday.com/articles/4489.php,Gene defect increases prostate risk,Cancer / Oncology,Cancer / Oncology,,,,5,5,3,4,5,4,3,3,4,,,,,,,,,
13476,http://www.medicalnewstoday.com/articles/18797.php,Depression intensifies from one generation to the next - Columbia study shows,Depression,Depression,,,,5,4,4,4,5,5,3,4,4,,,,,,,,,
1935,http://www.medicalnewstoday.com/articles/5620.php,Survival rates of recurrent breast cancer patients improving,Cancer / Oncology,Cancer / Oncology,,,,1,3,5,5,4,5,2,3,3,,,,,,,,,
8572,http://www.medicalnewstoday.com/articles/13093.php,Depressed patients may need treatment for both physical and emotional symptoms,Depression,Depression,,,,1,5,5,3,5,4,4,4,5,,,,,,,,,
2884,http://www.medicalnewstoday.com/articles/6634.php,New hope for women with advanced breast cancer,Cancer / Oncology,Cancer / Oncology,,,,5,3,5,5,4,4,3,5,1,,,,,,,,,
6665,http://www.medicalnewstoday.com/articles/10857.php,Physical symptoms of depression may be misdiagnosed,Depression,Depression,,,,3,1,4,4,4,5,3,5,4,,,,,,,,,
1225,http://www.medicalnewstoday.com/articles/4904.php,Can the common cold fight cancer?,Cancer / Oncology,Cancer / Oncology,,,,5,5,1,3,4,5,2,2,4,,,,,,,,,
273482,http://www.medicalnewstoday.com/articles/315599.php,Continuous glucose monitoring lowers blood sugar in the long term for type 1 diabetes,Diabetes,Diabetes,,,,2,1,1,3,3,4,4,3,2,,,,,,,,,
2045,http://www.medicalnewstoday.com/articles/5735.php,New mathematical algorithms might help diagnose cancer,Cancer / Oncology,Cancer / Oncology,,,,2,5,3,4,5,4,2,2,4,,,,,,,,,
7845,http://www.medicalnewstoday.com/articles/12198.php,Teens with depression often respond to combination of antidepressant and behavioral therapy,Depression,Depression,,,,1,3,4,4,5,5,4,5,3,,,,,,,,,
666,http://www.medicalnewstoday.com/articles/4343.php,A Few Main Risk Factors Account for Stomach Cancer,Cancer / Oncology,Cancer / Oncology,,,,3,2,3,2,2,2,3,1,1,,,,,,,,,
844,http://www.medicalnewstoday.com/articles/4521.php,Cholesterol drugs may cut breast cancer risk,Cancer / Oncology,Cancer / Oncology,,,,4,3,3,3,3,4,2,4,4,,,,,,,,,
15569,http://www.medicalnewstoday.com/articles/21228.php,"Treating depression helps slow physical decline in older adults, study shows",Depression,Depression,,,,1,1,1,4,4,4,4,4,3,,,,,,,,,
267789,http://www.medicalnewstoday.com/articles/309845.php,Drug combination could help reduce risk of death in type 2 diabetes (insulin plus metformin),Diabetes,Diabetes,,,,3,2,3,3,4,3,4,5,1,,,,,,,,,
1178,http://www.medicalnewstoday.com/articles/4857.php,Test predicts breast cancer tumour aggression,Cancer / Oncology,Cancer / Oncology,,,,4,5,5,4,5,4,4,4,3,,,,,,,,,
1627,http://www.medicalnewstoday.com/articles/5307.php,Headaches in the morning?  Could be depression or an anxiety disorder,Depression,Depression,,,,5,5,1,5,5,5,3,4,5,,,,,,,,,
267368,http://www.medicalnewstoday.com/articles/309408.php,Teen moms and infant sleep: Mother doesn't always know best,Pediatrics / Children's Health,Pediatrics / Children's Health,,,,4,1,4,4,1,1,1,3,3,,,,,,,,,
25440,http://www.medicalnewstoday.com/articles/33967.php,People with mild depression are more tuned into the feelings of others,Depression,Depression,,,,1,4,5,4,4,3,4,3,2,,,,,,,,,
1919,http://www.medicalnewstoday.com/articles/5604.php,Lung cancer cluster bombs created by researchers,Cancer / Oncology,Cancer / Oncology,,,,5,3,4,5,3,4,2,4,4,,,,,,,,,
1891,http://www.medicalnewstoday.com/articles/5575.php,Depression improvement and pain,Depression,Depression,,,,4,1,1,5,2,3,3,4,4,,,,,,,,,
692,http://www.medicalnewstoday.com/articles/4369.php,Cancer vaccine helps patients live longer,Cancer / Oncology,Cancer / Oncology,,,,3,2,2,4,4,4,2,4,2,,,,,,,,,
8661,http://www.medicalnewstoday.com/articles/13197.php,Sex and drug use increase teen suicide risk,Depression,Depression,,,,3,2,3,5,3,4,4,3,4,,,,,,,,,
257678,http://www.medicalnewstoday.com/articles/299405.php,Could longer school lunch periods encourage healthy eating?,Nutrition / Diet,Nutrition / Diet,,,,3,1,2,4,3,4,3,4,3,,,,,,,,,
35277,http://www.medicalnewstoday.com/articles/46536.php,Mild Sadness Provokes Depressive Thinking In Some Recovered Patients,Depression,Depression,,,,2,3,1,2,1,3,4,1,4,,,,,,,,,
7395,http://www.medicalnewstoday.com/articles/11671.php,Depression Traced to Overactive Brain Circuit,Depression,Depression,,,,4,1,2,5,4,3,4,4,3,,,,,,,,,
18340,http://www.medicalnewstoday.com/articles/24817.php,Depression is Widespread Among Heart Attack Patients,Depression,Depression,,,,2,2,3,4,3,4,5,2,3,,,,,,,,,
1893,http://www.medicalnewstoday.com/articles/5577.php,Early onset depression and brain structure,Depression,Depression,,,,2,2,4,4,3,4,5,2,4,,,,,,,,,
9408,http://www.medicalnewstoday.com/articles/14102.php,Exercise test predicts heart events in high risk asymptomatic men,Depression,Depression,,,,1,1,1,3,3,2,4,4,4,,,,,,,,,
1996,http://www.medicalnewstoday.com/articles/5684.php,High carbohydrate diet can increase cancer risk in women,Cancer / Oncology,Cancer / Oncology,,,,1,3,5,4,5,3,3,4,2,,,,,,,,,
2906,http://www.medicalnewstoday.com/articles/6656.php,Should nurses conduct breast cancer follow-up visits?,Cancer / Oncology,Cancer / Oncology,,,,4,5,1,3,5,3,3,1,2,,,,,,,,,
344,http://www.medicalnewstoday.com/articles/4019.php,Europe winning cancer war,Cancer / Oncology,Cancer / Oncology,,,,4,4,3,2,4,2,4,2,1,,,,,,,,,
1232,http://www.medicalnewstoday.com/articles/4911.php,Information Interventions May Help Individuals Make Cancer Screening Decisions,Cancer / Oncology,Cancer / Oncology,,,,1,4,1,4,5,4,2,3,4,,,,,,,,,
272065,http://www.medicalnewstoday.com/articles/314170.php,Asian-Americans are at high risk for diabetes but rarely get screened,Diabetes,Diabetes,,,,5,4,2,2,3,3,4,4,3,,,,,,,,,
264962,http://www.medicalnewstoday.com/articles/306950.php,"Children aren't active enough in winter, say Cambridge researchers",Pediatrics / Children's Health,Pediatrics / Children's Health,,,,3,1,1,2,4,5,2,2,2,,,,,,,,,
682,http://www.medicalnewstoday.com/articles/4359.php,Child cancer raises adult health risk,Cancer / Oncology,Cancer / Oncology,,,,1,5,1,1,2,2,4,2,2,,,,,,,,,
272257,http://www.medicalnewstoday.com/articles/314362.php,Study supports lower cut-off point for defining prediabetes,Diabetes,Diabetes,,,,3,3,1,5,3,3,4,1,2,,,,,,,,,
392,http://www.medicalnewstoday.com/articles/4067.php,Green tea can block cancer,Cancer / Oncology,Cancer / Oncology,,,,4,2,5,3,2,5,4,4,1,,,,,,,,,
665,http://www.medicalnewstoday.com/articles/4342.php,Intense therapy beats head cance,Cancer / Oncology,Cancer / Oncology,,,,5,3,4,5,2,4,3,1,3,,,,,,,,,
257713,http://www.medicalnewstoday.com/articles/299441.php,When eating fish is a health hazard,Nutrition / Diet,Nutrition / Diet,,,,1,2,1,2,4,3,4,4,4,,,,,,,,,
35968,http://www.medicalnewstoday.com/articles/47353.php,What Can Prevent Relapse In Depression?,Depression,Depression,,,,1,3,5,4,3,5,4,4,5,,,,,,,,,
24456,http://www.medicalnewstoday.com/articles/32730.php,"Talk therapy more effective long-term treatment for SAD than light therapy, study finds",Depression,Depression,,,,3,5,4,4,5,4,2,4,4,,,,,,,,,
29363,http://www.medicalnewstoday.com/articles/39037.php,The High Percentages Of Depression Have Been Greatly Exaggerated,Depression,Depression,,,,3,4,2,3,4,5,3,4,4,,,,,,,,,
273664,http://www.medicalnewstoday.com/articles/315782.php,"Parents' extra focus gives first borns mental edge over siblings, a study shows",Pediatrics / Children's Health,Pediatrics / Children's Health,,,,5,4,4,5,5,4,4,4,3,,,,,,,,,
2932,http://www.medicalnewstoday.com/articles/6686.php,Survival benefit of treatment in trials and at large centres,Cancer / Oncology,Cancer / Oncology,,,,3,4,1,3,4,3,1,2,1,,,,,,,,,
25584,http://www.medicalnewstoday.com/articles/34149.php,"Swimming with dolphins can alleviate depression, University of Leicester",Depression,Depression,,,,3,5,3,5,5,4,3,4,4,,,,,,,,,
5459,http://www.medicalnewstoday.com/articles/9521.php,Many common illnesses are independently associated with an increased risk of suicide in elderly people,Depression,Depression,,,,5,1,5,3,1,4,2,4,4,,,,,,,,,
2041,http://www.medicalnewstoday.com/articles/5730.php,Prostate test does not help men fare better,Cancer / Oncology,Cancer / Oncology,,,,4,5,2,4,4,2,4,1,2,,,,,,,,,
26980,http://www.medicalnewstoday.com/articles/35955.php,"Risk Factors For Depression Similar For Men And Women, Virginia Commonwealth University Study",Depression,Depression,,,,1,1,2,4,3,3,4,4,4,,,,,,,,,
13782,http://www.medicalnewstoday.com/articles/19110.php,Researchers hope monkeys can provide new insights into depression,Depression,Depression,,,,5,1,1,4,3,3,4,4,4,,,,,,,,,
372,http://www.medicalnewstoday.com/articles/4047.php,Stress leads kids to unhealthy diets,Cancer / Oncology,Cancer / Oncology,,,,3,1,1,5,3,2,1,3,1,,,,,,,,,
2805,http://www.medicalnewstoday.com/articles/6546.php,Tumor characteristics help predict survival in breast cancer patients,Cancer / Oncology,Cancer / Oncology,,,,3,2,2,2,4,3,2,4,2,,,,,,,,,
1593,http://www.medicalnewstoday.com/articles/5272.php,"If you had a head injury, your chances of getting depression are greater",Depression,Depression,,,,5,5,4,4,4,4,4,2,3,,,,,,,,,
792,http://www.medicalnewstoday.com/articles/4469.php,Gene combination helps cancer spread,Cancer / Oncology,Cancer / Oncology,,,,5,3,5,5,4,4,4,4,2,,,,,,,,,
286,http://www.medicalnewstoday.com/articles/3960.php,Fatty food linked to breast cancer,Cancer / Oncology,Cancer / Oncology,,,,2,1,2,2,3,3,2,4,4,,,,,,,,,
17889,http://www.medicalnewstoday.com/articles/24232.php,African Americans just as likely to be diagnosed with depression,Depression,Depression,,,,2,1,3,3,3,4,4,4,2,,,,,,,,,
1197,http://www.medicalnewstoday.com/articles/4876.php,Kidney cancer can be diagnosed in urine,Cancer / Oncology,Cancer / Oncology,,,,1,5,1,5,5,3,3,1,2,,,,,,,,,
276,http://www.medicalnewstoday.com/articles/3950.php,Animal fats and breast cancer link,Cancer / Oncology,Cancer / Oncology,,,,1,5,1,1,5,4,4,1,4,,,,,,,,,
271154,http://www.medicalnewstoday.com/articles/313250.php,Job insecurity linked to moderate increased risk of diabetes,Diabetes,Diabetes,,,,5,3,1,4,4,3,5,4,4,,,,,,,,,
9623,http://www.medicalnewstoday.com/articles/14357.php,Minor Depression Is Effectively Treated with Medication,Depression,Depression,,,,3,2,3,2,3,4,5,2,3,,,,,,,,,
34118,http://www.medicalnewstoday.com/articles/45055.php,New Study Suggests Antidepressants Save Lives,Depression,Depression,,,,1,1,3,3,4,4,4,4,4,,,,,,,,,
272041,http://www.medicalnewstoday.com/articles/314146.php,Noninvasive blood glucose monitoring device for people with diabetes in development,Diabetes,Diabetes,,,,1,4,1,5,3,5,4,1,2,,,,,,,,,
1910,http://www.medicalnewstoday.com/articles/5594.php,Virtual Reality Helps Breast Cancer Patients Cope with Chemotherapy,Cancer / Oncology,Cancer / Oncology,,,,4,5,3,5,5,4,3,4,2,,,,,,,,,
26745,http://www.medicalnewstoday.com/articles/35615.php,"Suicide Risk Does Not Increase When Adults Start Using Antidepressants, Study Finds",Depression,Depression,,,,1,4,5,2,3,5,2,4,5,,,,,,,,,
272564,http://www.medicalnewstoday.com/articles/314673.php,Moderate exercise improves memory dysfunction caused by type 2 diabetes,Diabetes,Diabetes,,,,5,3,3,5,5,2,4,4,2,,,,,,,,,
269349,http://www.medicalnewstoday.com/articles/311431.php,Children growing up in solo mother families are well adjusted and developing well,Pediatrics / Children's Health,Pediatrics / Children's Health,,,,4,3,2,2,5,2,2,5,3,,,,,,,,,
16422,http://www.medicalnewstoday.com/articles/22319.php,"Cognitive therapy as good as antidepressants, effects last longer",Depression,Depression,,,,2,5,2,3,5,5,4,3,5,,,,,,,,,
782,http://www.medicalnewstoday.com/articles/4459.php,Doctor's communication style may sway cancer patients,Cancer / Oncology,Cancer / Oncology,,,,3,2,2,4,4,5,3,4,4,,,,,,,,,
273174,http://www.medicalnewstoday.com/articles/315288.php,White fat converted to 'good' brown fat with anticancer drug,Obesity / Weight Loss / Fitness,Obesity / Weight Loss / Fitness,Nutrition / Diet,,,2,5,2,2,4,3,3,3,5,3,3,4,,,,,,
266739,http://www.medicalnewstoday.com/articles/308765.php,Few children get 60 minutes of vigorous physical activity daily,Pediatrics / Children's Health,Pediatrics / Children's Health,Obesity / Weight Loss / Fitness,,,2,1,2,4,4,4,4,3,2,3,2,4,,,,,,
35741,http://www.medicalnewstoday.com/articles/47078.php,Cancer Risk Decreased For Women At High-risk After Removal Of Ovaries,Cancer / Oncology,Cancer / Oncology,Women's Health / Gynecology,,,2,3,1,4,4,3,3,2,4,4,4,2,,,,,,
256924,http://www.medicalnewstoday.com/articles/298627.php,A bottle of water before mealtimes could aid weight loss,Water - Air Quality / Agriculture,Obesity / Weight Loss / Fitness,Nutrition / Diet,,,3,1,1,4,3,5,4,3,5,4,3,2,,,,,,
37331,http://www.medicalnewstoday.com/articles/49082.php,"Children And Teens Taking Antidepressants Might Be More Likely To Attempt, Complete Suicide",Depression,Depression,Pediatrics / Children's Health,,,4,1,3,3,5,4,4,5,3,4,5,4,,,,,,
273628,http://www.medicalnewstoday.com/articles/315746.php,More screen time for kids isn't all that bad,Pediatrics / Children's Health,Pediatrics / Children's Health,Psychology / Psychiatry,,,1,4,5,4,4,5,4,1,4,3,2,2,,,,,,
256675,http://www.medicalnewstoday.com/articles/298373.php,Instant oatmeal for breakfast may help curb your appetite at lunch,Obesity / Weight Loss / Fitness,Obesity / Weight Loss / Fitness,Nutrition / Diet,,,1,2,4,4,4,3,5,4,4,5,4,4,,,,,,
266919,http://www.medicalnewstoday.com/articles/308947.php,Even low levels of air pollution appear to affect a child's lungs,Respiratory / Asthma,Respiratory / Asthma,Pediatrics / Children's Health,,,3,5,3,2,5,4,1,5,3,1,5,3,,,,,,
272218,http://www.medicalnewstoday.com/articles/314323.php,Diabetes proves deadly for smokers,Diabetes,Diabetes,Smoking / Quit Smoking,,,3,5,2,2,4,3,4,3,4,4,2,4,,,,,,
273589,http://www.medicalnewstoday.com/articles/315707.php,Harsh parenting may do more harm than good for children's education,Psychology / Psychiatry,Psychology / Psychiatry,Pediatrics / Children's Health,,,3,3,3,3,2,3,4,2,2,5,4,1,,,,,,
264313,http://www.medicalnewstoday.com/articles/306267.php,Childhood diabetes discoveries could lead to new treatments,Diabetes,Diabetes,Pediatrics / Children's Health,,,5,4,4,5,5,5,1,1,1,1,4,4,,,,,,
269147,http://www.medicalnewstoday.com/articles/311228.php,"Some viruses could survive on children's toys for hours and cause infection, study finds",Pediatrics / Children's Health,Pediatrics / Children's Health,Infectious Diseases / Bacteria / Viruses,,,5,5,2,5,5,4,4,2,2,3,1,4,,,,,,
268730,http://www.medicalnewstoday.com/articles/310805.php,Almost all food and beverage products marketed by music stars are unhealthy,Pediatrics / Children's Health,Pediatrics / Children's Health,Obesity / Weight Loss / Fitness,,,3,1,1,5,1,3,4,2,4,4,4,4,,,,,,
271582,http://www.medicalnewstoday.com/articles/313682.php,How sweet it is: Artificial sweeteners in blood,Nutrition / Diet,Nutrition / Diet,Diabetes,,,5,4,4,5,5,3,4,3,4,1,3,4,,,,,,
19421,http://www.medicalnewstoday.com/articles/26188.php,"Red Meat Elevates, Fish Lowers Colorectal Cancer Risk",Colorectal Cancer,Colorectal Cancer,Cancer / Oncology,,,1,4,2,3,4,4,4,3,4,5,4,4,,,,,,
273677,http://www.medicalnewstoday.com/articles/315795.php,Evidence points to fish oil to fight asthma,Respiratory / Asthma,Respiratory / Asthma,Nutrition / Diet,,,4,4,4,4,4,2,4,2,4,4,3,1,,,,,,
195039,http://www.medicalnewstoday.com/articles/234793.php,"Diabetes risk increased for men who get too much, too little sleep",Sleep / Sleep Disorders / Insomnia,Sleep / Sleep Disorders / Insomnia,Diabetes,,,2,3,3,3,4,3,3,1,2,2,1,2,,,,,,
14188,http://www.medicalnewstoday.com/articles/19539.php,Sunlight May Have Beneficial Influence on Some Types of Cancer,Cancer / Oncology,Cancer / Oncology,Flu / Cold / SARS,,,1,5,5,2,5,5,2,1,4,2,2,4,,,,,,
55187,http://www.medicalnewstoday.com/articles/71313.php,High-Quality Child Care For Poor Children Found To Offset The Risk Of Later Depression,Pediatrics / Children's Health,Pediatrics / Children's Health,Depression,,,2,4,2,4,3,3,1,4,4,4,4,4,,,,,,
265440,http://www.medicalnewstoday.com/articles/307436.php,Most teens who misuse prescription stimulants say they use other people's medication,Pediatrics / Children's Health,Pediatrics / Children's Health,Alcohol / Addiction / Illegal Drugs,,,3,4,1,3,4,5,1,2,3,1,2,3,,,,,,
29328,http://www.medicalnewstoday.com/articles/39002.php,Mother's Depressive Symptoms Contribute Unfavorably To Parenting Practices,Pediatrics / Children's Health,Pediatrics / Children's Health,Depression,,,1,2,2,4,4,3,4,2,2,4,1,2,,,,,,
269381,http://www.medicalnewstoday.com/articles/311463.php,Want kids to eat their veggies? Turn squash into a superhero,Pediatrics / Children's Health,Pediatrics / Children's Health,Nutrition / Diet,,,3,1,3,3,3,4,2,3,4,4,5,3,,,,,,
59104,http://www.medicalnewstoday.com/articles/76082.php,Young Adults Not At Risk Of Suicidal Behavior From Antidepressants,Depression,Depression,Psychology / Psychiatry,,,5,2,2,3,3,4,4,3,4,3,2,4,,,,,,
27934,http://www.medicalnewstoday.com/articles/37260.php,Link Discovered Between Depression And Changes In The Brain In Alzheimer's Disease,Depression,Depression,Alzheimer's / Dementia,,,3,2,3,5,5,5,4,4,5,2,2,4,,,,,,
273128,http://www.medicalnewstoday.com/articles/315242.php,"Wearable biosensors can flag illness, Lyme disease, risk for diabetes, low oxygen on aircraft",Personal Monitoring / Wearable Technology,Infectious Diseases / Bacteria / Viruses,Diabetes,,,5,4,5,5,4,4,2,2,4,3,2,4,,,,,,
270430,http://www.medicalnewstoday.com/articles/312523.php,Recommended blood pressure targets for diabetes are being challenged,Diabetes,Diabetes,Blood / Hematology,,,4,3,3,3,4,3,4,5,3,4,4,2,,,,,,
31651,http://www.medicalnewstoday.com/articles/41866.php,"Elderly Cancer Survivors Face Increased Functional Limitations, Study Finds",Seniors / Aging,Seniors / Aging,Cancer / Oncology,,,1,2,2,3,3,1,2,3,2,1,3,4,,,,,,
271759,http://www.medicalnewstoday.com/articles/313862.php,Having dinner at 2 p.m. might help lose weight,Obesity / Weight Loss / Fitness,Obesity / Weight Loss / Fitness,Nutrition / Diet,,,5,4,2,5,2,4,5,5,5,4,5,5,,,,,,
29925,http://www.medicalnewstoday.com/articles/39733.php,Maintenance Treatment Prevents Recurrence In Older Adults With Single-episode Depressions,Depression,Depression,Seniors / Aging,,,1,3,2,1,4,3,3,5,2,3,4,2,,,,,,
267653,http://www.medicalnewstoday.com/articles/309703.php,"Teen birth rates fall nearly 50 percent among Hispanic and black teens, dropping national teen birth rate to an all-time low",Pregnancy / Obstetrics,Pregnancy / Obstetrics,Pediatrics / Children's Health,,,3,2,5,3,5,2,5,4,2,4,4,2,,,,,,
273685,http://www.medicalnewstoday.com/articles/315803.php,"Sugar, salt, and fat taxes could save billions in health care costs",Nutrition / Diet,Nutrition / Diet,Public Health,,,2,3,1,2,5,4,3,4,4,3,2,4,,,,,,
34864,http://www.medicalnewstoday.com/articles/46031.php,"For Men With Prostate Cancer, Treatment Information Fails To Address Fears",Prostate / Prostate Cancer,Prostate / Prostate Cancer,Cancer / Oncology,,,5,3,3,4,4,3,2,2,2,2,3,1,,,,,,
273084,http://www.medicalnewstoday.com/articles/315198.php,"No silver bullet to beating obesity, study finds",Obesity / Weight Loss / Fitness,Obesity / Weight Loss / Fitness,Nutrition / Diet,,,1,1,4,3,3,5,3,4,2,3,3,3,,,,,,
271462,http://www.medicalnewstoday.com/articles/313561.php,Short walks after meals may prove important tool in managing diabetes,Diabetes,Diabetes,Obesity / Weight Loss / Fitness,,,3,1,2,4,4,4,5,4,4,4,4,4,,,,,,
273732,http://www.medicalnewstoday.com/articles/315851.php,Diabetes in your DNA? Scientists zero in on the genetic signature of risk,Diabetes,Diabetes,Genetics,,,1,4,5,3,3,5,3,3,1,1,4,2,,,,,,
272808,http://www.medicalnewstoday.com/articles/314919.php,"Gelatin supplements, good for your joints?",Bones / Orthopedics,Bones / Orthopedics,Nutrition / Diet,,,5,3,5,5,4,3,1,2,1,3,3,3,,,,,,
265470,http://www.medicalnewstoday.com/articles/307469.php,Neighborhood features associated with decreased odds of homicide in adolescents,Public Health,Public Health,Pediatrics / Children's Health,,,3,5,1,4,5,1,3,3,5,3,1,5,,,,,,
2718,http://www.medicalnewstoday.com/articles/6455.php,Anorexics have lower risk of breast cancer,Cancer / Oncology,Cancer / Oncology,Eating Disorders,,,5,5,1,5,4,2,2,4,4,2,2,4,,,,,,
267802,http://www.medicalnewstoday.com/articles/309858.php,Does supplemental donor milk instead of formula reduce infections in preterm infants?,Pediatrics / Children's Health,Pediatrics / Children's Health,GastroIntestinal / Gastroenterology,,,1,3,1,3,5,3,1,5,3,2,2,2,,,,,,
265406,http://www.medicalnewstoday.com/articles/307402.php,What influences 11 year olds to drink?,Pediatrics / Children's Health,Pediatrics / Children's Health,Alcohol / Addiction / Illegal Drugs,,,4,4,4,3,3,4,4,4,2,3,4,3,,,,,,
33772,http://www.medicalnewstoday.com/articles/44572.php,Breast Cancer Patients Benefit From Yoga,Breast Cancer,Breast Cancer,Cancer / Oncology,,,1,4,2,4,4,4,2,1,2,2,2,2,,,,,,
36943,http://www.medicalnewstoday.com/articles/48609.php,Placebo Study Frames Depression Treatment Puzzle,Depression,Depression,Psychology / Psychiatry,,,4,3,5,5,3,5,5,3,2,5,3,2,,,,,,
37587,http://www.medicalnewstoday.com/articles/49393.php,Cancer Spreads From Dog To Dog,Cancer / Oncology,Cancer / Oncology,Infectious Diseases / Bacteria / Viruses,,,4,5,5,4,3,5,3,1,2,4,2,4,,,,,,
31218,http://www.medicalnewstoday.com/articles/41317.php,Timing Of Radiation Treatments For Colon Cancer May Need Adjusting,Cancer / Oncology,Cancer / Oncology,GastroIntestinal / Gastroenterology,,,3,3,4,2,4,4,1,3,2,1,1,1,,,,,,
